[Fri Jan 20 13:24:27 2023] ThreadID[46636]	[INFO]	Model Detected: Archery_FirstAge_Level1_Cube.295
[Fri Jan 20 13:24:27 2023] ThreadID[46636]	[INFO]	Location: X -0.282200 Y 0.000000 Z -1.207100
[Fri Jan 20 13:24:27 2023] ThreadID[46636]	[MESSAGE]	Game Level File Reading Complete.
[Fri Jan 20 13:24:27 2023] ThreadID[46636]	[MESSAGE]	Begin Importing .H2B File Data.
[Fri Jan 20 13:24:27 2023] ThreadID[46636]	[INFO]	H2B Imported: Archery_FirstAge_Level1_Cube.h2b
[Fri Jan 20 13:24:27 2023] ThreadID[46636]	[INFO]	H2B Imported: Mountain_Group_1_Cube.h2b
[Fri Jan 20 13:24:27 2023] ThreadID[46636]	[INFO]	H2B Imported: Mountain_Group_2_Cube.h2b
[Fri Jan 20 13:24:27 2023] ThreadID[46636]	[MESSAGE]	Importing of .H2B File Data Complete.
[Fri Jan 20 13:24:27 2023] ThreadID[46636]	[EVENT]	GAME LEVEL WAS LOADED TO CPU [DATA ORIENTED]
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	Start Program.
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	[MESSAGE]	Begin Reading Game Level Text File.
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	[INFO]	Model Detected: Mountain_Group_1_Cube.039
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	[INFO]	Location: X -1.736400 Y -0.000000 Z 3.566200
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	[INFO]	Model Detected: Mountain_Group_2_Cube.044
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	[INFO]	Location: X 3.515900 Y 0.000000 Z 4.475500
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	[INFO]	Model Detected: Mountain_Group_2_Cube.001
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	[INFO]	Location: X 2.443800 Y -0.000000 Z 0.889500
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	[INFO]	Model Detected: Archery_FirstAge_Level1_Cube.295
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	[INFO]	Location: X -0.282200 Y 0.000000 Z -1.207100
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	[MESSAGE]	Game Level File Reading Complete.
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	[MESSAGE]	Begin Importing .H2B File Data.
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	[INFO]	H2B Imported: Archery_FirstAge_Level1_Cube.h2b
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	[INFO]	H2B Imported: Mountain_Group_1_Cube.h2b
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	[INFO]	H2B Imported: Mountain_Group_2_Cube.h2b
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	[MESSAGE]	Importing of .H2B File Data Complete.
[Fri Jan 20 14:30:40 2023] ThreadID[46904]	[EVENT]	GAME LEVEL WAS LOADED TO CPU [DATA ORIENTED]
[Fri Jan 20 14:30:58 2023] ThreadID[292]	Start Program.
[Fri Jan 20 14:30:58 2023] ThreadID[292]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Fri Jan 20 14:30:58 2023] ThreadID[292]	[MESSAGE]	Begin Reading Game Level Text File.
[Fri Jan 20 14:30:58 2023] ThreadID[292]	[INFO]	Model Detected: Mountain_Group_1_Cube.039
[Fri Jan 20 14:30:58 2023] ThreadID[292]	[INFO]	Location: X -1.736400 Y -0.000000 Z 3.566200
[Fri Jan 20 14:30:58 2023] ThreadID[292]	[INFO]	Model Detected: Mountain_Group_2_Cube.044
[Fri Jan 20 14:30:58 2023] ThreadID[292]	[INFO]	Location: X 3.515900 Y 0.000000 Z 4.475500
[Fri Jan 20 14:30:58 2023] ThreadID[292]	[INFO]	Model Detected: Mountain_Group_2_Cube.001
[Fri Jan 20 14:30:58 2023] ThreadID[292]	[INFO]	Location: X 2.443800 Y -0.000000 Z 0.889500
[Fri Jan 20 14:30:58 2023] ThreadID[292]	[INFO]	Model Detected: Archery_FirstAge_Level1_Cube.295
[Fri Jan 20 14:30:58 2023] ThreadID[292]	[INFO]	Location: X -0.282200 Y 0.000000 Z -1.207100
[Fri Jan 20 14:30:58 2023] ThreadID[292]	[MESSAGE]	Game Level File Reading Complete.
[Fri Jan 20 14:30:58 2023] ThreadID[292]	[MESSAGE]	Begin Importing .H2B File Data.
[Fri Jan 20 14:30:58 2023] ThreadID[292]	[INFO]	H2B Imported: Archery_FirstAge_Level1_Cube.h2b
[Fri Jan 20 14:30:58 2023] ThreadID[292]	[INFO]	H2B Imported: Mountain_Group_1_Cube.h2b
[Fri Jan 20 14:30:58 2023] ThreadID[292]	[INFO]	H2B Imported: Mountain_Group_2_Cube.h2b
[Fri Jan 20 14:30:58 2023] ThreadID[292]	[MESSAGE]	Importing of .H2B File Data Complete.
[Fri Jan 20 14:30:58 2023] ThreadID[292]	[EVENT]	GAME LEVEL WAS LOADED TO CPU [DATA ORIENTED]
[Fri Jan 20 18:18:26 2023] ThreadID[32228]	Start Program.
[Fri Jan 20 18:18:26 2023] ThreadID[32228]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Fri Jan 20 18:18:26 2023] ThreadID[32228]	[MESSAGE]	Begin Reading Game Level Text File.
[Fri Jan 20 18:18:26 2023] ThreadID[32228]	[INFO]	Model Detected: Mountain_Group_1_Cube.039
[Fri Jan 20 18:18:26 2023] ThreadID[32228]	[INFO]	Location: X -1.736400 Y -0.000000 Z 3.566200
[Fri Jan 20 18:18:26 2023] ThreadID[32228]	[INFO]	Model Detected: Mountain_Group_2_Cube.044
[Fri Jan 20 18:18:26 2023] ThreadID[32228]	[INFO]	Location: X 3.515900 Y 0.000000 Z 4.475500
[Fri Jan 20 18:18:26 2023] ThreadID[32228]	[INFO]	Model Detected: Mountain_Group_2_Cube.001
[Fri Jan 20 18:18:26 2023] ThreadID[32228]	[INFO]	Location: X 2.443800 Y -0.000000 Z 0.889500
[Fri Jan 20 18:18:26 2023] ThreadID[32228]	[INFO]	Model Detected: Archery_FirstAge_Level1_Cube.295
[Fri Jan 20 18:18:26 2023] ThreadID[32228]	[INFO]	Location: X -0.282200 Y 0.000000 Z -1.207100
[Fri Jan 20 18:18:26 2023] ThreadID[32228]	[MESSAGE]	Game Level File Reading Complete.
[Fri Jan 20 18:18:26 2023] ThreadID[32228]	[MESSAGE]	Begin Importing .H2B File Data.
